,NVDA
2026-03-24,175.1999969482422
2026-03-25,178.67999267578125
2026-03-26,171.24000549316406
2026-03-27,167.52000427246094
2026-03-30,165.1699981689453
2026-03-31,174.39999389648438
2026-04-01,175.75
2026-04-02,177.38999938964844
2026-04-06,177.63999938964844
2026-04-07,178.10000610351562
2026-04-08,182.0800018310547
2026-04-09,183.91000366210938
2026-04-10,188.6300048828125
2026-04-13,189.30999755859375
2026-04-14,196.50999450683594
2026-04-15,198.8699951171875
2026-04-16,198.35000610351562
2026-04-17,201.67999267578125
2026-04-20,202.05999755859375
2026-04-21,199.8800048828125
2026-04-22,202.5
2026-04-23,199.63999938964844
2026-04-24,208.27000427246094
2026-04-27,216.61000061035156
2026-04-28,213.1699981689453
2026-04-29,209.25
2026-04-30,199.57000732421875
2026-05-01,198.4499969482422
2026-05-04,198.47999572753906
2026-05-05,196.5
2026-05-06,207.8300018310547
2026-05-07,211.5
2026-05-08,215.1999969482422
2026-05-11,219.44000244140625
2026-05-12,220.77999877929688
2026-05-13,225.8300018310547
2026-05-14,235.74000549316406
2026-05-15,225.32000732421875
2026-05-18,222.32000732421875
2026-05-19,220.61000061035156
2026-05-20,223.47000122070312
2026-05-21,219.50999450683594
2026-05-22,215.3300018310547
2026-05-26,214.86000061035156
2026-05-27,212.60000610351562
2026-05-28,214.25
2026-05-29,211.13999938964844
2026-06-01,224.36000061035156
2026-06-02,222.82000732421875
2026-06-03,214.75
2026-06-04,218.66000366210938
2026-06-05,205.10000610351562
2026-06-08,208.63999938964844
2026-06-09,208.19000244140625
2026-06-10,200.4199981689453
2026-06-11,204.8699951171875
2026-06-12,205.19000244140625
2026-06-15,212.4499969482422
2026-06-16,207.41000366210938
2026-06-17,204.64999389648438
